id,link,title,content,gold_label,content_length
0,https://www.express.pk/story/2733439/netflix-downloads-social-media-complaints-incident,نیٹ فلکس ڈاؤن سوشل میڈیا پر شکایتوں کا طوفان اگیا,معروف امریکی اسٹریمنگ پلیٹ فارم نیٹ فلکس باکسنگ ایونٹ کے دوران ڈاؤن ہوگیا جس نے شائقین کو مایوس کردیا غیر ملکی میڈیا رپورٹس کے مطابق نیٹ فلکس پر جمعہ کے روز مائیک ٹائسن اور جیک پال کے درمیان ہونے والے باکسنگ کے لائیو ایونٹ کے دوران نیٹ فلکس اسٹریمنگ کے مسائل کا شکار ہوگیا جس سے صارفین تشویش میں پڑگئے آرلنگٹن ٹیکساس کے اے ٹی اینڈ ٹی اسٹیڈیم میں ہونے والے اس مقابلے سے پہلے ہی صارفین نے ویڈیو کے معیار میں خرابی پکسلز پھٹنے اسٹریمنگ رکنے اور حتی کہ ایپ کے کریش ہونے کی شکایت کی صرف امریکہ میں ہی نیٹ فلکس کے ڈاؤن ہونے کی 80 ہزار سے زائد رپورٹس ریکارڈ کی گئیں جبکہ سوشل میڈیا پلیٹ فارم ایکس پر بھی ہیش ٹیک نیٹ فلکس کریش ٹرینڈ کرنے لگا ویب سائٹ ٹریکنگ پلیٹ ڈاؤن ڈیٹیکٹر نے شام 8 بجے مقامی وقت پر نیٹ فلکس کی ویب سائٹ پر مسائل کی رپورٹ میں اضافے کی اطلاع دی جو رات 930 بجے 88700 شکایات تک پہنچ گئیں ایکس پر صارفین نے باکسنگ میچ کے دوران ویڈیوز کی خرابی سے متعلق جی ائی ایف اور تصاویر شیئر کیں جس پر طنزیہ تبصرے بھی کئے گئے اور اسٹریمنگ ویب سائٹ پر شدید تنقید کیا گئی رات 11 بجے کے بعد شروع ہونے والے باکسنگ کے مرکزی مقابلے کے دوران بھی اسٹریمنگ میں مسائل کی اطلاعات موصول ہوئیں لیکن یہ ابتدائی شکایات کے مقابلے میں کم تھیں نیٹ فلکس کے ترجمان نے اس حوالے سے فوری طور پر کوئی تبصرہ نہیں کیا یاد رہے کہ 58 سالہ باکسر مائیک ٹائسن جو سابق ہیوی ویٹ چیمپئن اور باکسنگ کی دنیا کا ایک بڑا نام ہیں کا مقابلہ 27 سالہ جیک پال سے ہوا جو یوٹیوبر سے باکسر بننے کا سفر طے کر چکے ہیں اس بڑے مقابلے کیلئے مداح پرجوش تھے اور ہزاروں افراد بیک وقت یہ مقابلہ نیٹ فلکس پر دیکھ رہے تھے جب انہیں اسٹریمنگ میں پریشانی کا سامنا کرنا پڑا,entertainment,1506
1,https://www.express.pk/story/2733408/the-shooting-of-pakistani-web-series-fruit-chaat-has-started,پاکستانی ویب سیریز فروٹ چاٹ کی شوٹنگ کا اغاز کردیا گیا,عالمی ایوارڈ یافتہ پاکستان شوبز کے نوجوان ہدایتکار معیزعباس کی نئی ویب سیریز فروٹ چارٹ کی شوٹنگ کا اغاز کردیا گیا اس ویب سیریز کی کہانی رائٹر اور ہیومن ایکٹیوسٹ تنزیلا خان نے لکھی ہے جو خود اس ویب سیریز میں مرکزی کردار ادا کر رہی ہیں جبکہ معروف اداکار فواد جلال نادیہ افغان بھی اس پراجیکٹ میں خصوصی کردار نبھاتے نظر ائیں گے a post shared by moiz abbas imoizabbas فروٹ چاٹ کی کہانی ایک ایسی تعلیم یافتہ اور قابل لڑکی شبانہ کے گرد گھومتی ہے جو ویل چیئر استعمال کرنے والی خاتون ہے مگر ہمت کی اعلی مثال ہے تاہم اسے معاشرے میں بچپن سے لے کر جوانی تک کئی مشکلات کا سامنا کرنا پڑا مگر اس نے ہار نہ مانتے ہوئے ان مشکلات کا ڈٹ کر مقابلہ کیا اور معاشرے میں اپنا ایک مقام بنانے میں کامیاب رہی شبانہ ایک ایسے معاشرے میں اپنے لیے جگہ بنانے کیلئے جدوجہد کر رہی ہے جہاں معذوری سے جڑے تصورات اور تعصبات خوابوں اور کامیابی کے درمیان رکاوٹ بنتے ہیں a post shared by moiz abbas imoizabbas کامیڈی سے بھرپور یہ منفرد کہانی ناظرین کو ہنسنے پر مجبور کرنے کے ساتھ ساتھ ان کے ذہنوں میں غور و فکر کے لیے کئی موضوعات چھوڑ دے گی جن میں روزگار محبت دوستی اور ایک عورت ہونے کے تجربات شامل ہیں ہدایتکار معیز عباس کی ویب سیریز اس وقت شوٹنگ کے مرحلے میں ہے جس کو جنوری کے پہلے ہفتے میں ریلیز کئے جانے کا امکان ہے جبکہ ریلیز کی حتمی تاریخ کا اعلان جلد کیا جائے گا a post shared by iwish ventures iwishventures 7 قسطوں پر مشتمل ویب سیریز فروٹ چارٹ کو اس کے افیشل اسٹریمنگ پارٹنرمائیکو پر ریلیز کیا جائے گا فروٹ چاٹ کو اس سے قبل بطور مختصر فلم پیش کیا گیا تھا جس نے مسلم انٹرنیشنل فلم فیسٹیول یو کے ویمن انٹرنیشنل فلم فیسٹیول اور روس سے بہترین مختصر فلم کے ایوارڈز بھی حاصل کئے ہیں a post shared by tanzila khan iamtanzilakhan ہدایتکار معیزعباس پاکستان کے ابھرتے ہوئے ٹیلنٹ میں سے ایک ہیں جو ٹی وی اور فلم پروڈکشن اور ڈائریکشن کے شعبے میں بطورڈائریکٹر کئی پراجیکٹس کامیاب بنا کر عالمی سطح پر ملک کا نام روشن کر رہے ہیں a post shared by moiz abbas imoizabbas یاد رہے کہ نوجوان ہدایتکار معیزعباس وہ واحد پاکستانی ہدایتکار ہونے کا اعزاز بھی رکھتے ہیں جو دو زی فائیوگلوبل کنٹینٹ فیسٹیول ایوارڈز بھی اپنے نام کرچکے ہیں,entertainment,1977
2,https://www.express.pk/story/2733380/a-colorful-fashion-show-in-riyadh-jennifer-lopez-and-other-singers-made-headlines,ریاض میں رنگارنگ فیشن شو جینیفر لوپیز سمیت دیگر گلوکاروں نے سر بکھیر دیئے,سعودی عرب کےدارالحکومتریاض میں منعقد ہونے والے فیشن شو میں عالمی شہرتے یافتہ گلوکاروں کی شاندار پرفارمنسز نے دھوم مچا دی یہ فیشن شو ریاض سیزن کے سالانہ تفریحی فیسٹیول کے دوران منعقد کیا گیا جہاں لبنانی ڈیزائنر کے تخلیق کردہ 300 سے زائد دیدہ زیب ملبوسات پیش کیے گئے اختتامی تقریب میں ماڈلز نے ریمپ پر اپنے منفرد انداز میں واک کی اور شائقین کی داد سمیٹی جبکہ جینیفر لوپیز سیلین ڈیون نینسی اجرم عمرو دیاب اور کیملا کابیلو جیسے معروف گلوکاروں نے اپنی سریلی آوازوں سے تقریب کو یادگار بنا دیا سوشل میڈیا پر اس گرینڈ فیشن شو کی ویڈیوز وائرل ہو رہی ہیں جو صارفین کی توجہ کا مرکز بنی ہوئی ہیں a post shared by arab news lifestyle arabnewslifestyle,entertainment,638
3,https://www.express.pk/story/2733374/disha-patanis-father-was-defrauded-of-lacs-of-rupees,دیشا پٹانی کے والد کے ساتھ لاکھوں روپے کا فراڈ ہوگیا,بالی ووڈ کی خوبرو اداکارہ دیشا پٹانی کے والد ریٹائرڈ ڈپٹی ایس پی جگدیش سنگھ پٹانی مبینہ طور پر 25 لاکھ روپے کی دھوکہ دہی کا شکار ہو گئے بھارتی میڈیا رپورٹس کے مطابق پانچ افراد پر مشتمل ایک گروہ نے انہیں سرکاری کمیشن میں اعلی عہدہ دلانے کا جھانسہ دے کر یہ رقم حاصل کی پولیس کے مطابق یہ واقعہ بریلی کے کوتوالی پولیس اسٹیشن میں درج کیا گیا ہے نامزد ملزمان کے خلاد دھوکہ دہی دھمکیاں دینے اور جبری وصولی کے الزامات کے تحت مقدمہ درج کر لیا گیا ہے ایف آئی آر میں کہا گیا ہے کہ اداکارہ کے والد سے 5 لاکھ روپے نقد اور 20 لاکھ روپے تین مختلف بینک اکاؤنٹس میں ٹرانسفر کرائے گئے تاہم انہیں کوئی اعلی عہدہ نہ ملا اور لوٹ لیا گیا,entertainment,615
4,https://www.express.pk/story/2733372/who-will-be-the-villain-in-don-3-the-name-came-up,ڈان 3 میں ولن کون ہوگا نام سامنے اگیا,بالی ووڈ کی مشہور فلم ڈان فرنچائز کی تیسری فلم ڈان 3 میں ولن کے کردار کیلئےوکرانت میسی کا نام زیر غور ہے فرحان اختر کی ہدایتکاری میں بننے والی ڈان 3 میں رنویر سنگھ اور کیارا اڈوانی مرکزی کردار ادا کریں گے فلم اس و وقت تیاری کے مرحلے میں ہے جبکہ ولن کا نام اب تک فائنل نہیں ہوسکا تاہم کہا جارہا ہے کہ اداکار وکرانت میسی کو فلم میں ولن کے اس اہم کردار کے لیے پیشکش کی جاسکتی ہے رپورٹ کے مطابق وکرانت میسی جنہوں نے حالیہ فلم 12ویں فیل میں بہترین اداکاری کا مظاہرہ کیا اور دنیا بھر میں خوب نام کمایا انہیں ڈان 3 میں رنویر سنگھ کے مقابل مرکزی ولن کا کردار ادا کرنے کی تجویز دی گئی ہے تاہم ابھی تک اس کا فیصلہ نہیں ہوا ہے ایک پوڈکاسٹ میں فرحان اختر نے بتایا کہ انہوں نے ڈان 3 کے لیے نئی نسل کے اداکار کی ضرورت کے تحت رنویر سنگھ کو منتخب کیا انہوں نے رنویر کی توانائی اور اداکاری کی صلاحیت کو سراہا اور کہا کہ ان کا ایک منفرد پہلو ابھی تک مکمل طور پر سامنے نہیں آیا ہے جس کو وہ دنیا کے سامنے لانے کی کوشش کریں گے واضح رہے کہ ڈان 3 کی تیاری ائندہ سال مارچ میں شروع ہوگی کیونکہ فرحان اور رنویر دیگر منصوبوں میں مصروف ہیں تاہم شائقین اس میگا فلم کو بڑے پردے پر دیکھنے کیلئے برقرار ہیں اور فلم کی ریلیز کے منتظر ہیں,entertainment,1104
5,https://www.express.pk/story/2733338/idara-ilmdost-ki-janib-se-malomataama-ke-expert-me-awarddistribution,ادارہ علم دوست کی جانب سےمعلومات عامہ کے ماہرین میں تقسیم ایوارڈ,ادارہ علم دوست کی جانب سےمعلومات عامہ کے ممتاز ماہرین کو ایوارڈ عطا کئے گئے ہیں آرٹس کونسل کراچی میں 17 میں سے 15 ایوارڈز پاکستان کوئز سوسائٹی کے ماہرین نے اپنے نام کئے جن میں عقیل عباس جعفری بھی شامل ہیںکراچی میں منعقدہ ایک رنگارنگ تقریب میں ادارہ علم دوست کی جانب سے تقریب اعزازات منعقد ہوئی جس میں جس میں معلومات عامہ جنرل نالج کے ممتاز ماہرین سمیت دیگر اہلیان علم کو ایوارڈز دیئے گئے جنرل نالج کےماہرین کو ان کے غیرمعمولی کردار کے اعتراف میں اعزازات سے نوازا گیا آرٹس کونسل آف پاکستان کراچی کے حسینہ معین ہال میں ہونے والی تقریب کی صدارت ڈاکٹر الطاف مکاتی نے کی  جبکہ مہمان خصوصی ڈاکٹر منصور الظفر اور تاجدار عادل مہمان اعزازی تھے چوتھے علم دوست ایوارڈز میں پاکستان کوئز سوسائٹی انٹرنیشنل رجسٹرڈ کے 15 اراکین کو ایوارڈز دئیے گئے جن میں بانی چئیرمین عاصم علی قادری اور ڈاکٹر عقیل عباس جعفری کو لائف ٹائم اچیومنٹ ایوارڈ دیا گیا جبکہ دیگر تیرہ ایوارڈز یافتہ ارکان میں سید جاوید رضا نقوی طاہر حبیب ڈاکٹر جمیلہ خانم پروفیسر ابراہیم غوری پروفیسر منور علی قریشی سعید احمد سعید سہیل احمد صدیقی عارف مصطفی امان اللہ پنجوانی اطہر رضااجنبی محمد عارف سومرو اور واجد رضا اصفہانی کا نام شامل ہے سوسائٹی کے سابق عہدے دار نفیس احمد خان کو بعداز مرگ ایوارڈ سے نوازا گیا ادیب دانشورفیروز ناطق خسرو اور رضی الدین سید نے بھی لائف ٹائم اچیومنٹ ایوارڈ وصول کیا ادارہ علم دوست کی آرگنائزنگ کمیٹی کے بانی صدر شبیر ابن عادل ناساز طبیعت کے باعث تقریب میں شرکت نہ کرسکے دیگر اراکین میں میر حسین علی امامعطا محمد تبسماکبر علی خالد پرویز صدیقی شاہد محی الدین  عطاالرحمان سید عبدالباسط اور گل بانو بھی تقریب میں موجود تھے  پروگرام میں میزبانی کے فرائض ڈاکٹر فرحانہ اویس نے انجام دیے,entertainment,1556
6,https://www.express.pk/story/2733336/director-vinodchopra-ki-film-zeeroserestart-ka-teaser-release,فلم ساز ودھو ونود چوپڑا کی نئی فلم زیرو سے ری اسٹارٹ کا ٹیزر جاری,معروف فلم ساز ودھو ونود چوپڑا نے اپنی نئی فلم زیرو سے ری اسٹارٹ کا ٹیزر جاری کردیا ہے ٹیزر کا آغاز ایک سادہ سوال سے ہوتا ہے جب آپ نے پہلا خواب دیکھا تو کیا سوچا تھا یہ سوال ہر دیکھنے والے کو ماضی کی یادوں اور بچپن کے خوابوں کی طرف لے جاتا ہے زیرو سے ری اسٹارٹ چوپڑا کی پچھلی فلم بارہویں فیل کا تسلسل ہے اور اس کا مقصد زندگی میں نئے آغاز کا حوصلہ دینا ہے فلم کے ذریعے یہ پیغام دیا گیا ہے کہ زندگی میں کبھی بھی اپنا خواب پورا کرنے کے لیے دیر نہیں ہوتی اس کہانی میں مختلف شعبوں کے افراد کے ابتدائی خوابوں اور امیدوں کو پھر سے جوڑنے کی کوشش کی گئی ہے ودھو ونود چوپڑا نے فلم کے بارے میں کہا ہم سب کی زندگی میں ایک زیرو لمحہ ہوتا ہے جب ہم نے پہلی بار خواب دیکھا تھا یہ فلم اس لمحے کا جشن ہے اور یہ یاد دہانی بھی کہ نئے آغاز کے لیے کبھی دیر نہیں ہوتی فلم کی ریلیز کی تاریخ 13 دسمبر 2024 مقرر کی گئی ہے,entertainment,794
7,https://www.express.pk/story/2733331/umer-barhane-ke-sath-weight-kam-karna-mushkil-hota-hy-abhishekbachachan,عمر بڑھنے کے ساتھ وزن کم کرنا مشکل ہوتا ہے ابھیشیک بچن کا دلچسپ انکشاف,ابھیشیک بچن نے اپنی نئی فلم آئی وانٹ ٹو ٹاک کے میوزک لانچ کے موقع پر جسمانی تبدیلی اور کردار کی تیاری کے بارے میں دلچسپ باتیں کیں فلم کے پوسٹر پر اپنے اضافی وزن کو دیکھتے ہوئے انہوں نے مزاحیہ انداز میں کہا اب میں اس حالت میں نہیں ہوں مگر یہ تجربہ بہت کچھ سکھانے والا تھا ابھیشیک نے فلم کے کردار کے لیے وزن بڑھانے کے بارے میں گفتگو کرتے ہوئے کہا کہ یہ ایک چیلنج تھا اور عمر کے ساتھ وزن کم کرنا واقعی مشکل ہوجاتا ہے انہوں نے شوجیت سرکار کا شکریہ ادا کیا کہ انہوں نے انہیں ایک مختلف کردار آزمانے کا موقع دیا جس نے انہیں اپنی روزمرہ کی زندگی کے معمولات سے باہر نکالنے میں مدد دی آئی وانٹ ٹو ٹاک کو شوجیت سرکار نے ڈائریکٹ کیا ہے اور اسے 22 نومبر 2024 کو سینما گھروں میں ریلیز کیا جائے گا فلم میں ابھیشیک کے ساتھ جانی لیور بھی اہم کردار میں نظر آئیں گے,entertainment,746
8,https://www.express.pk/story/2733327/malaikaarora-walid-ki-wafat-ke-bad-kam-par-wapis-aagyien,ملائکہ اروڑا والد کے انتقال کے بعد کام پر واپس والد کے نام نئے پروجیکٹ کا اعلان,مشہور اداکارہ ملائکہ اروڑا حال ہی میں والد کے انتقال کے بعد دوبارہ اپنے کام میں مشغول ہوگئی ہیں انہوں نے والد کی وفات کے بعد کچھ وقت کے لئے وقفہ لیا اور اپنی فیملی کے ساتھ وقت گزارا اور اپنی 49 ویں سالگرہ بھی انہوں نے سادگی سے منائی اب ملائکہ اپنے مختلف پروجیکٹس پر کام کر رہی ہیں جن میں مختلف برانڈز کے اشتہارات ڈانس رئیلٹی شو کی جج بننا اور ایک اسٹارٹ اپ شو میں بطور بزنس انویسٹر شامل ہونا بھی شامل ہیں اداکارہ نے اپنی زندگی میں کئی مشکل حالات کا سامنا کیا جیسے طلاق آن لائن تنقید اور حالیہ ذاتی نقصان انہوں نے اپنے والد کی یاد میں ایک خاص پروجیکٹ پر کام کرنے کا اعلان بھی کیا ہے  ملائکہ کا کہنا ہے کہ یہی میرے والد چاہتے تھے کہ میں آگے بڑھوں اور زندگی میں مثبت رہوں,entertainment,668
9,https://www.express.pk/story/2733325/directordharmaish-ka-2bar-shahrukhkhan-ki-films-thukrane-ka-inkishaf,ڈائریکٹر دھرمیش درشن کا دو بار شاہ رخ خان کی فلمیں ٹھکرانے کا انکشاف,بالی ووڈ کے معروف ہدایتکار دھرمیش درشن نے حالیہ گفتگو میں شاہ رخ خان کے ساتھ اپنے تعلقات اور ان کی پیشکشوں کے بارے میں انکشافات کیے ہیں دھرمیش درشن نے بتایا کہ شاہ رخ خان نے انہیں دو بار فلموں کی پیشکش کی تھی مگر انہوں نے اپنی اصولوں کے باعث قبول نہیں کیں انہوں نے کہا 2004 میں کریم مورانی ایک فلم بنانا چاہتے تھے جس میں شاہ رخ خان کو لینا تھا مگر میں بےوفا میں مصروف تھا اسی طرح شاہ رخ نے اپنی پروڈکشن کمپنی ریڈ چلیز کے تحت بھی ایک فلم کی پیشکش کی مگر میں نے اصولی طور پر اسے رد کر دیا دھرمیش درشن نے شاہ رخ خان کی تعریف کرتے ہوئے کہا وہ حقیقی اور عظیم فنکار ہیں اور اپنے ہر کامیابی کے مستحق ہیں ایک سچے اسٹار ہونے کے ساتھ ساتھ ان میں کلاس اور سخاوت بھی ہے انہوں نے مزید کہا کہ جب بھی ہم ملتے ہیں وہ ہمیشہ میرا احترام کرتے ہیں اور وہ کبھی ناراض نہیں ہوتے کہ میں ان کی پیشکش قبول نہیں کر پایا یہ یقینا میرا نقصان ہے کہ میں ان کے ساتھ کام نہیں کر سکا,entertainment,849
